CustomerID,Gender,Age,City,Region,CustomerSegment,SignUpDate
CSTMR0001,Male,29,Istanbul,Marmara,Standard,2020-04-13
CSTMR0002,Other,40,Istanbul,Marmara,Standard,2020-04-08
CSTMR0003,Female,36,Bursa,Marmara,Premium,2022-08-14
CSTMR0004,Male,18,Istanbul,Marmara,Premium,2022-03-26
CSTMR0005,Male,43,Izmir,Aegean,Premium,2021-04-04
CSTMR0006,Other,49,Istanbul,Marmara,Standard,2020-02-07
CSTMR0007,Male,36,Bursa,Marmara,Premium,2020-10-10
CSTMR0008,Female,48,Istanbul,Marmara,Standard,2022-03-26
CSTMR0009,Female,25,Antalya,Mediterranean,Premium,2021-04-21
CSTMR0010,Male,43,Ankara,Central Anatolia,Standard,2022-11-26
CSTMR0011,Female,32,Bursa,Marmara,Standard,2023-03-30
CSTMR0012,Male,47,Izmir,Aegean,Standard,2021-07-19
CSTMR0013,Female,40,Trabzon,Black Sea,Standard,2022-08-19
CSTMR0014,Male,28,Istanbul,Marmara,Premium,2023-02-01
CSTMR0015,Male,21,Ankara,Central Anatolia,Standard,2022-07-09
CSTMR0016,Male,26,Istanbul,Marmara,Premium,2020-02-05
CSTMR0017,Female,49,Eskisehir,Central Anatolia,Standard,2021-04-15
CSTMR0018,Female,45,Bursa,Marmara,Standard,2022-05-03
CSTMR0019,Male,33,Istanbul,Marmara,Standard,2022-12-13
CSTMR0020,Other,45,Ankara,Central Anatolia,Standard,2022-09-30
CSTMR0021,Male,33,Bursa,Marmara,Premium,2022-05-16
CSTMR0022,Male,43,Adana,Mediterranean,Standard,2021-09-27
CSTMR0023,Female,22,Ankara,Central Anatolia,Standard,2022-01-10
CSTMR0024,Female,18,Bursa,Marmara,VIP,2022-10-09
CSTMR0025,Male,19,Istanbul,Marmara,Premium,2021-05-02
CSTMR0026,Male,33,Kocaeli,Marmara,Premium,2021-12-04
CSTMR0027,Female,19,Bursa,Marmara,Standard,2022-09-23
CSTMR0028,Female,32,Istanbul,Marmara,Premium,2022-12-06
CSTMR0029,Male,35,Istanbul,Marmara,Standard,2021-03-07
CSTMR0030,Female,60,Bursa,Marmara,Premium,2020-12-22
CSTMR0031,Male,32,Bursa,Marmara,Standard,2022-01-31
CSTMR0032,Male,39,Kocaeli,Marmara,VIP,2021-05-30
CSTMR0033,Female,52,Izmir,Aegean,Premium,2021-01-14
CSTMR0034,Male,44,Ankara,Central Anatolia,Standard,2023-04-06
CSTMR0035,Female,32,Istanbul,Marmara,Premium,2022-08-27
CSTMR0036,Male,40,Istanbul,Marmara,Premium,2022-04-05
CSTMR0037,Male,42,Ankara,Central Anatolia,Standard,2022-01-30
