OrderID,ProductID,Quantity,UnitCost,UnitPrice,DiscountRate,IsReturned,ReturnDate,ReturnTime,ReturnReason
ORD00001,PRDCT0056,3,2.14,3.38,0.0,0,9999-12-31,00:00:00,None
ORD00002,PRDCT0028,2,4.17,5.31,0.0,0,9999-12-31,00:00:00,None
ORD00002,PRDCT0001,13,20.36,25.77,0.05,0,9999-12-31,00:00:00,None
ORD00003,PRDCT0030,2,0.9,1.35,0.0,0,9999-12-31,00:00:00,None
ORD00004,PRDCT0003,3,12.84,20.35,0.0,0,9999-12-31,00:00:00,None
ORD00004,PRDCT0017,5,2.84,3.6,0.0,0,9999-12-31,00:00:00,None
ORD00004,PRDCT0021,4,1.65,2.36,0.0,0,9999-12-31,00:00:00,None
ORD00004,PRDCT0008,3,13.56,21.3,0.0,0,9999-12-31,00:00:00,None
ORD00004,PRDCT0024,2,2.64,3.75,0.0,0,9999-12-31,00:00:00,None
ORD00005,PRDCT0007,1,19.79,30.81,0.15,0,9999-12-31,00:00:00,None
ORD00005,PRDCT0011,4,3.94,6.28,0.2,0,9999-12-31,00:00:00,None
ORD00005,PRDCT0001,3,15.3,19.36,0.3,0,9999-12-31,00:00:00,None
ORD00005,PRDCT0002,2,20.37,28.3,0.25,0,9999-12-31,00:00:00,None
ORD00005,PRDCT0014,2,2.39,3.4,0.25,0,9999-12-31,00:00:00,None
ORD00006,PRDCT0028,2,4.17,5.31,0.0,0,9999-12-31,00:00:00,None
ORD00006,PRDCT0015,12,4.99,8.19,0.0,0,9999-12-31,00:00:00,None
ORD00006,PRDCT0025,1,3.17,4.96,0.0,0,9999-12-31,00:00:00,None
ORD00007,PRDCT0010,2,20.04,30.45,0.3,0,9999-12-31,00:00:00,None
ORD00007,PRDCT0028,2,4.58,5.84,0.4,0,9999-12-31,00:00:00,None
ORD00007,PRDCT0017,1,2.84,3.6,0.4,0,9999-12-31,00:00:00,None
ORD00007,PRDCT0026,2,6.47,8.56,0.2,0,9999-12-31,00:00:00,None
ORD00007,PRDCT0046,1,2.69,3.63,0.4,0,9999-12-31,00:00:00,None
ORD00008,PRDCT0087,3,9.5,14.74,0.15,0,9999-12-31,00:00:00,None
ORD00008,PRDCT0076,1,15.49,23.92,0.0,0,9999-12-31,00:00:00,None
ORD00009,PRDCT0028,2,4.17,5.31,0.0,0,9999-12-31,00:00:00,None
