OrderID,CustomerID,OrderDate,OrderTime
ORD00001,CSTMR0983,2021-04-10,12:53:24
ORD00002,CSTMR0703,2024-04-21,22:08:16
ORD00003,CSTMR0920,2022-10-27,10:21:26
ORD00004,CSTMR0158,2025-11-07,22:24:27
ORD00005,CSTMR0834,2021-09-05,13:23:16
ORD00006,CSTMR0336,2024-02-01,10:02:55
ORD00007,CSTMR0166,2025-09-10,21:30:09
ORD00008,CSTMR0102,2026-04-14,11:10:46
ORD00009,CSTMR0271,2024-07-20,08:15:36
ORD00010,CSTMR0678,2022-02-05,08:56:08
ORD00011,CSTMR0628,2026-03-02,14:46:02
ORD00012,CSTMR0112,2025-06-07,11:56:54
ORD00013,CSTMR0229,2025-06-05,11:11:28
ORD00014,CSTMR0092,2022-04-14,13:43:33
ORD00015,CSTMR0515,2023-07-28,12:42:59
ORD00016,CSTMR0864,2022-02-21,12:41:27
ORD00017,CSTMR0601,2024-05-17,14:09:52
ORD00018,CSTMR0130,2023-03-17,10:21:35
ORD00019,CSTMR0756,2022-03-03,13:11:01
ORD00020,CSTMR0819,2025-08-29,21:11:47
ORD00021,CSTMR0977,2022-12-11,22:29:18
ORD00022,CSTMR0809,2023-09-11,22:24:01
ORD00023,CSTMR0288,2021-03-10,19:17:36
ORD00024,CSTMR0483,2024-08-23,10:52:38
ORD00025,CSTMR0711,2023-03-08,09:10:21
ORD00026,CSTMR0471,2025-11-04,13:45:33
ORD00027,CSTMR0222,2024-08-19,19:01:28
ORD00028,CSTMR0235,2024-06-02,19:37:07
ORD00029,CSTMR0180,2024-07-11,16:22:03
ORD00030,CSTMR0741,2026-03-30,16:53:04
ORD00031,CSTMR0518,2026-05-10,16:51:34
ORD00032,CSTMR0219,2021-05-20,20:35:22
ORD00033,CSTMR0035,2025-05-17,11:27:56
ORD00034,CSTMR0153,2024-10-09,08:50:05
ORD00035,CSTMR0275,2026-02-07,19:21:59
ORD00036,CSTMR0125,2023-04-16,13:50:23
ORD00037,CSTMR0071,2023-05-17,14:23:01
ORD00038,CSTMR0716,2024-09-01,15:31:25
ORD00039,CSTMR0897,2025-10-21,13:18:53
ORD00040,CSTMR0191,2023-07-09,20:32:50
ORD00041,CSTMR0969,2023-10-04,08:03:35
ORD00042,CSTMR0842,2025-01-13,14:45:50
ORD00043,CSTMR0156,2021-02-28,08:40:09
ORD00044,CSTMR0110,2023-01-21,17:39:37
ORD00045,CSTMR0043,2023-06-03,10:11:19
ORD00046,CSTMR0338,2025-12-09,20:38:46
ORD00047,CSTMR0653,2024-04-09,18:14:42
ORD00048,CSTMR0384,2025-12-28,08:48:25
ORD00049,CSTMR0812,2025-04-01,21:57:25
ORD00050,CSTMR0699,2023-06-26,18:42:11
ORD00051,CSTMR0899,2023-12-08,14:36:50
ORD00052,CSTMR0899,2024-10-08,19:57:24
ORD00053,CSTMR0410,2021-07-26,08:36:40
ORD00054,CSTMR0148,2021-05-12,20:29:33
ORD00055,CSTMR0555,2025-03-18,12:45:48
ORD00056,CSTMR0607,2021-10-25,12:42:35
ORD00057,CSTMR0417,2025-12-09,11:48:13
ORD00058,CSTMR0710,2022-09-03,20:45:32
ORD00059,CSTMR0897,2023-04-01,08:32:07
ORD00060,CSTMR0840,2021-04-19,12:59:21
ORD00061,CSTMR0495,2022-10-28,13:13:42
ORD00062,CSTMR0201,2024-09-17,21:52:58
ORD00063,CSTMR0163,2024-01-05,10:28:29
ORD00064,CSTMR0296,2024-01-27,09:39:37
ORD00065,CSTMR0269,2023-02-14,13:16:49
ORD00066,CSTMR0746,2024-11-24,21:43:26
ORD00067,CSTMR0623,2025-07-25,21:53:15
