ProductID,ProductName,CategoryID
PRDCT0001,ABC's Beef Ribeye,CTGRY0001
PRDCT0002,XYZ's Chicken Breast,CTGRY0001
PRDCT0003,KLM's Turkey Breast,CTGRY0001
PRDCT0004,ABC's Lamb Chops,CTGRY0001
PRDCT0005,XYZ's Atlantic Salmon,CTGRY0001
PRDCT0006,KLM's Smoked Bacon,CTGRY0001
PRDCT0007,ABC's Ground Beef,CTGRY0001
PRDCT0008,XYZ's Beef Sausage,CTGRY0001
PRDCT0009,KLM's Duck Breast,CTGRY0001
PRDCT0010,ABC's Tuna Steak,CTGRY0001
PRDCT0011,ABC's Whole Milk,CTGRY0002
PRDCT0012,XYZ's Yogurt,CTGRY0002
PRDCT0013,KLM's Cheddar Cheese,CTGRY0002
PRDCT0014,ABC's Salted Butter,CTGRY0002
PRDCT0015,XYZ's Cottage Cheese,CTGRY0002
PRDCT0016,KLM's Heavy Cream,CTGRY0002
PRDCT0017,ABC's Organic Eggs,CTGRY0002
PRDCT0018,XYZ's Mozzarella,CTGRY0002
PRDCT0019,KLM's Sour Cream,CTGRY0002
PRDCT0020,ABC's Parmesan,CTGRY0002
PRDCT0021,ABC's Red Apples,CTGRY0003
PRDCT0022,XYZ's Fresh Bananas,CTGRY0003
PRDCT0023,KLM's Hass Avocados,CTGRY0003
PRDCT0024,ABC's Baby Spinach,CTGRY0003
PRDCT0025,XYZ's Cherry Tomatoes,CTGRY0003
PRDCT0026,KLM's Yellow Onions,CTGRY0003
PRDCT0027,ABC's Organic Carrots,CTGRY0003
PRDCT0028,XYZ's Broccoli Crowns,CTGRY0003
PRDCT0029,KLM's Lemons,CTGRY0003
PRDCT0030,ABC's Blueberries,CTGRY0003
PRDCT0031,PQR's Lemonade,CTGRY0004
PRDCT0032,STU's Cold Brew,CTGRY0004
PRDCT0033,VWX's Sparkling Water,CTGRY0004
PRDCT0034,PQR's Orange Juice,CTGRY0004
PRDCT0035,STU's Green Tea,CTGRY0004
PRDCT0036,VWX's Energy Drink,CTGRY0004
PRDCT0037,PQR's Ginger Ale,CTGRY0004
PRDCT0038,STU's Tonic Water,CTGRY0004
PRDCT0039,VWX's Apple Cider,CTGRY0004
PRDCT0040,PQR's Iced Tea,CTGRY0004
PRDCT0041,PQR's Sourdough Bread,CTGRY0005
PRDCT0042,STU's Whole Wheat Loaf,CTGRY0005
PRDCT0043,VWX's Butter Croissant,CTGRY0005
PRDCT0044,PQR's Plain Bagels,CTGRY0005
PRDCT0045,STU's Brioche Buns,CTGRY0005
PRDCT0046,VWX's Pita Bread,CTGRY0005
PRDCT0047,PQR's Cinnamon Rolls,CTGRY0005
PRDCT0048,STU's Garlic Bread,CTGRY0005
PRDCT0049,VWX's Rye Bread,CTGRY0005
PRDCT0050,PQR's Tortilla Wraps,CTGRY0005
PRDCT0051,PQR's Potato Chips,CTGRY0006
PRDCT0052,STU's Tortilla Chips,CTGRY0006
PRDCT0053,VWX's Roasted Almonds,CTGRY0006
PRDCT0054,PQR's Milk Chocolate,CTGRY0006
PRDCT0055,STU's Gummy Bears,CTGRY0006
PRDCT0056,VWX's Salted Pretzels,CTGRY0006
PRDCT0057,PQR's Protein Bar,CTGRY0006
PRDCT0058,STU's Rice Cakes,CTGRY0006
PRDCT0059,VWX's Popcorn,CTGRY0006
PRDCT0060,PQR's Granola Bar,CTGRY0006
PRDCT0061,PQR's Extra Virgin Olive Oil,CTGRY0007
PRDCT0062,STU's Basmati Rice,CTGRY0007
PRDCT0063,VWX's Penne Pasta,CTGRY0007
PRDCT0064,PQR's All-Purpose Flour,CTGRY0007
PRDCT0065,STU's Granulated Sugar,CTGRY0007
PRDCT0066,VWX's Sea Salt,CTGRY0007
PRDCT0067,PQR's Black Pepper,CTGRY0007
PRDCT0068,STU's Red Lentils,CTGRY0007
PRDCT0069,VWX's Tomato Paste,CTGRY0007
PRDCT0070,PQR's Coconut Milk,CTGRY0007
PRDCT0071,YZA's Liquid Hand Soap,CTGRY0008
PRDCT0072,DEF's Body Wash,CTGRY0008
PRDCT0073,YZA's Daily Shampoo,CTGRY0008
PRDCT0074,DEF's Mint Toothpaste,CTGRY0008
PRDCT0075,YZA's Moisturizing Lotion,CTGRY0008
PRDCT0076,DEF's Shaving Cream,CTGRY0008
PRDCT0077,YZA's Deodorant Roll-On,CTGRY0008
PRDCT0078,DEF's Facial Cleanser,CTGRY0008
PRDCT0079,YZA's Hair Conditioner,CTGRY0008
PRDCT0080,DEF's Sunscreen SPF 50,CTGRY0008
PRDCT0081,YZA's Dish Soap,CTGRY0009
PRDCT0082,DEF's Laundry Detergent,CTGRY0009
PRDCT0083,YZA's Fabric Softener,CTGRY0009
PRDCT0084,DEF's All-Purpose Cleaner,CTGRY0009
PRDCT0085,YZA's Glass Cleaner,CTGRY0009
PRDCT0086,DEF's Disinfectant Spray,CTGRY0009
PRDCT0087,YZA's Dishwasher Pods,CTGRY0009
PRDCT0088,DEF's Bleach Gel,CTGRY0009
PRDCT0089,YZA's Degreaser Spray,CTGRY0009
PRDCT0090,DEF's Toilet Cleaner,CTGRY0009
PRDCT0091,GHI's French Fries,CTGRY0010
PRDCT0092,JKL's Pepperoni Pizza,CTGRY0010
PRDCT0093,GHI's Frozen Peas,CTGRY0010
PRDCT0094,JKL's Ice Cream Vanilla,CTGRY0010
PRDCT0095,GHI's Fish Sticks,CTGRY0010
PRDCT0096,JKL's Frozen Berries,CTGRY0010
PRDCT0097,GHI's Chicken Nuggets,CTGRY0010
PRDCT0098,JKL's Frozen Waffles,CTGRY0010
PRDCT0099,GHI's Veggie Burgers,CTGRY0010
PRDCT0100,JKL's Puff Pastry,CTGRY0010
